TimeStamp,inject_serive,inject_type,time,last_time (s)
2022-03-27 20:27:00,checkoutservice,cpu,6032,180
2022-03-27 20:45:00,mysql,db_delay,6050,180
2022-03-27 21:04:00,recommendationservice,latency,6069,180
2022-03-27 21:24:00,currencyservice,faulty-update,6089,180
2022-03-27 21:42:00,recommendationservice,cpu,6107,180
2022-03-27 22:01:00,adservice,faulty-update,6126,180
2022-03-27 22:20:00,emailservice,cpu,6145,180
2022-03-27 22:39:00,productcatalogservice,latency,6164,180
2022-03-27 22:58:00,recommendationservice,faulty-update,6183,180
2022-03-27 23:17:00,index,excessive flow,6202,180
2022-03-27 23:36:00,recommendationservice,cpu,6221,180
2022-03-27 23:55:00,cartservice,latency,6240,180
2022-03-28 00:14:00,checkoutservice,faulty-update,6259,180
2022-03-28 00:33:00,shippingservice,faulty-update,6278,180
2022-03-28 00:52:00,browseproduct,excessive flow,6297,180
2022-03-28 01:10:00,adservice,cpu,6315,180
2022-03-28 01:28:00,viewcart,excessive flow,6333,180
2022-03-28 01:46:00,adservice,cpu,6351,180
2022-03-28 02:04:00,paymentservice,faulty-update,6369,180
2022-03-28 02:23:00,shippingservice,faulty-update,6388,180
2022-03-28 02:42:00,browseproduct,excessive flow,6407,180
2022-03-28 03:00:00,productcatalogservice,faulty-update,6425,180
2022-03-28 03:19:00,browseproduct,excessive flow,6444,180
2022-03-28 03:38:00,viewcart,excessive flow,6463,180
2022-03-28 03:57:00,checkoutservice,faulty-update,6482,180
2022-03-28 04:16:00,emailservice,cpu,6501,180
2022-03-28 04:35:00,mysql,db_delay,6520,180
2022-03-28 04:54:00,mysql,db_delay,6539,180
2022-03-28 05:13:00,productcatalogservice,cpu,6558,180
2022-03-28 05:31:00,mysql,db_delay,6576,180
2022-03-28 05:50:00,productcatalogservice,faulty-update,6595,180
2022-03-28 06:10:00,setcurrency,excessive flow,6615,180
2022-03-28 06:28:00,recommendationservice,faulty-update,6633,180
2022-03-28 06:47:00,currencyservice,faulty-update,6652,180
2022-03-28 07:06:00,adservice,faulty-update,6671,180
2022-03-28 07:25:00,cartservice,cpu,6690,180
2022-03-28 07:46:00,productcatalogservice,latency,6711,180
2022-03-28 08:04:00,checkout,excessive flow,6729,180
2022-03-28 08:22:00,adservice,faulty-update,6747,180
2022-03-28 08:42:00,browseproduct,excessive flow,6767,180
2022-03-28 09:01:00,emailservice,faulty-update,6786,180
2022-03-28 09:19:00,emailservice,cpu,6804,180
2022-03-28 09:38:00,setcurrency,excessive flow,6823,180
2022-03-28 09:56:00,setcurrency,excessive flow,6841,180
2022-03-28 10:15:00,mysql,db_delay,6860,180
2022-03-28 10:33:00,emailservice,cpu,6878,180
2022-03-28 10:52:00,emailservice,cpu,6897,180
2022-03-28 11:10:00,mysql,db_delay,6915,180
2022-03-28 11:30:00,addtocart,excessive flow,6935,180
2022-03-28 11:49:00,mysql,db_delay,6954,180
2022-03-28 12:08:00,productcatalogservice,faulty-update,6973,180
2022-03-28 12:27:00,index,excessive flow,6992,180
2022-03-28 12:46:00,recommendationservice,faulty-update,7011,180
